question,role,expected_category,mode,answer,has_citation,num_sources,risk_score,decision,conflict_detected,blocked,human_approval_required
How do I connect to CPCE_Student Wi-Fi on Android?,student,factual,standard_rag,"Based on the strongest evidence, - Open **Settings** > **Wi-Fi** under **Connections** or **Network & Internet**.
- Turn on Wi-Fi and select **CPCE_Student**.
- Configure network properties:
  - EAP method: **PEAP**
  - Phase 2 authentication: **MSCHAPV2**
  - CA certificate: **Use system certificates**
  - Domain: **wifi.cpce-polyu.edu.hk**
  - Identity: **Your StudentID**
  - Password: **Your portal password**
- Tap **Connect**. [1]\n\nSources:\n[1] How do I connect to CPCE_Student Wi-Fi on an Android phone? (ITU_FAQ_002_wi_fi_connection, current, effective 2026-02-01)\n[2] How do I connect to CPCE_Student Wi-Fi on an iPhone? (ITU_FAQ_001_wi_fi_connection, current, effective 2026-02-01)\n[3] Cannot browse websites when connected to Student Wi-Fi (ITU_FAQ_004_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
How do I connect to CPCE_Student Wi-Fi on Android?,student,factual,agentic_rag,"Based on the strongest evidence, - Open **Settings** > **Wi-Fi** under **Connections** or **Network & Internet**.
- Turn on Wi-Fi and select **CPCE_Student**.
- Configure network properties:
  - EAP method: **PEAP**
  - Phase 2 authentication: **MSCHAPV2**
  - CA certificate: **Use system certificates**
  - Domain: **wifi.cpce-polyu.edu.hk**
  - Identity: **Your StudentID**
  - Password: **Your portal password**
- Tap **Connect**. [1]\n\nSources:\n[1] How do I connect to CPCE_Student Wi-Fi on an Android phone? (ITU_FAQ_002_wi_fi_connection, current, effective 2026-02-01)\n[2] How do I connect to CPCE_Student Wi-Fi on an iPhone? (ITU_FAQ_001_wi_fi_connection, current, effective 2026-02-01)\n[3] Cannot browse websites when connected to Student Wi-Fi (ITU_FAQ_004_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
How do I connect to CPCE_Student Wi-Fi on Android?,student,factual,eagle,"Based on the strongest evidence, - Open **Settings** > **Wi-Fi** under **Connections** or **Network & Internet**.
- Turn on Wi-Fi and select **CPCE_Student**.
- Configure network properties:
  - EAP method: **PEAP**
  - Phase 2 authentication: **MSCHAPV2**
  - CA certificate: **Use system certificates**
  - Domain: **wifi.cpce-polyu.edu.hk**
  - Identity: **Your StudentID**
  - Password: **Your portal password**
- Tap **Connect**. [1]\n\nSources:\n[1] How do I connect to CPCE_Student Wi-Fi on an Android phone? (ITU_FAQ_002_wi_fi_connection, current, effective 2026-02-01)\n[2] How do I connect to CPCE_Student Wi-Fi on an iPhone? (ITU_FAQ_001_wi_fi_connection, current, effective 2026-02-01)\n[3] Cannot browse websites when connected to Student Wi-Fi (ITU_FAQ_004_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
How do I connect to CPCE_Student Wi-Fi on iPhone?,student,factual,standard_rag,"Based on the strongest evidence, - Go to **Settings** > **Wi-Fi**.
- Select **CPCE_Student**.
- Press **Accept** if the certificate shows ""wifi.cpce-polyu.edu.hk"" and ""Go Daddy Secure Certificate Authority - G2"".
- You should now be connected. [1]\n\nSources:\n[1] How do I connect to CPCE_Student Wi-Fi on an iPhone? (ITU_FAQ_001_wi_fi_connection, current, effective 2026-02-01)\n[2] How do I connect to CPCE_Student Wi-Fi on an Android phone? (ITU_FAQ_002_wi_fi_connection, current, effective 2026-02-01)\n[3] Cannot browse websites when connected to Student Wi-Fi (ITU_FAQ_004_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
How do I connect to CPCE_Student Wi-Fi on iPhone?,student,factual,agentic_rag,"Based on the strongest evidence, - Go to **Settings** > **Wi-Fi**.
- Select **CPCE_Student**.
- Press **Accept** if the certificate shows ""wifi.cpce-polyu.edu.hk"" and ""Go Daddy Secure Certificate Authority - G2"".
- You should now be connected. [1]\n\nSources:\n[1] How do I connect to CPCE_Student Wi-Fi on an iPhone? (ITU_FAQ_001_wi_fi_connection, current, effective 2026-02-01)\n[2] How do I connect to CPCE_Student Wi-Fi on an Android phone? (ITU_FAQ_002_wi_fi_connection, current, effective 2026-02-01)\n[3] Cannot browse websites when connected to Student Wi-Fi (ITU_FAQ_004_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
How do I connect to CPCE_Student Wi-Fi on iPhone?,student,factual,eagle,"Based on the strongest evidence, - Go to **Settings** > **Wi-Fi**.
- Select **CPCE_Student**.
- Press **Accept** if the certificate shows ""wifi.cpce-polyu.edu.hk"" and ""Go Daddy Secure Certificate Authority - G2"".
- You should now be connected. [1]\n\nSources:\n[1] How do I connect to CPCE_Student Wi-Fi on an iPhone? (ITU_FAQ_001_wi_fi_connection, current, effective 2026-02-01)\n[2] How do I connect to CPCE_Student Wi-Fi on an Android phone? (ITU_FAQ_002_wi_fi_connection, current, effective 2026-02-01)\n[3] Cannot browse websites when connected to Student Wi-Fi (ITU_FAQ_004_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
What should I do if Eduroam does not connect?,student,troubleshooting,standard_rag,"Based on the strongest evidence, - Double-check credentials: **StudentID@cpce.hk** & your portal password.
- Verify certificate: ""wifi.cpce-polyu.edu.hk"" and ""Go Daddy Secure Certificate Authority - G2"".
- Go to Settings > Wi-Fi. Tap the Actions Available button, then turn Limit IP Address Tracking off.
- Restart your device if issues persist. [1]\n\nSources:\n[1] What should I do if Eduroam doesn’t connect? (ITU_FAQ_003_wi_fi_connection, current, effective 2026-02-01)\n[2] Cannot connect Wifi (ITU_FAQ_008_wi_fi_connection, current, effective 2026-02-01)\n[3] connect to VPN (ITU_FAQ_007_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
What should I do if Eduroam does not connect?,student,troubleshooting,agentic_rag,"Based on the strongest evidence, - Double-check credentials: **StudentID@cpce.hk** & your portal password.
- Verify certificate: ""wifi.cpce-polyu.edu.hk"" and ""Go Daddy Secure Certificate Authority - G2"".
- Go to Settings > Wi-Fi. Tap the Actions Available button, then turn Limit IP Address Tracking off.
- Restart your device if issues persist. [1]\n\nSources:\n[1] What should I do if Eduroam doesn’t connect? (ITU_FAQ_003_wi_fi_connection, current, effective 2026-02-01)\n[2] Cannot connect Wifi (ITU_FAQ_008_wi_fi_connection, current, effective 2026-02-01)\n[3] connect to VPN (ITU_FAQ_007_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
What should I do if Eduroam does not connect?,student,troubleshooting,eagle,"Based on the strongest evidence, - Double-check credentials: **StudentID@cpce.hk** & your portal password.
- Verify certificate: ""wifi.cpce-polyu.edu.hk"" and ""Go Daddy Secure Certificate Authority - G2"".
- Go to Settings > Wi-Fi. Tap the Actions Available button, then turn Limit IP Address Tracking off.
- Restart your device if issues persist. [1]\n\nSources:\n[1] What should I do if Eduroam doesn’t connect? (ITU_FAQ_003_wi_fi_connection, current, effective 2026-02-01)\n[2] Cannot connect Wifi (ITU_FAQ_008_wi_fi_connection, current, effective 2026-02-01)\n[3] connect to VPN (ITU_FAQ_007_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
What is the Wi-Fi password?,student,factual,standard_rag,"Based on the strongest evidence, - Is same as your CPCE portal/Blackboard/School email password. [1]\n\nSources:\n[1] What is the Wi-Fi password (ITU_FAQ_005_wi_fi_connection, current, effective 2026-02-01)\n[2] How do I connect to CPCE_Student Wi-Fi on an Android phone? (ITU_FAQ_002_wi_fi_connection, current, effective 2026-02-01)\n[3] Cannot browse websites when connected to Student Wi-Fi (ITU_FAQ_004_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
What is the Wi-Fi password?,student,factual,agentic_rag,"Based on the strongest evidence, - Is same as your CPCE portal/Blackboard/School email password. [1]\n\nSources:\n[1] What is the Wi-Fi password (ITU_FAQ_005_wi_fi_connection, current, effective 2026-02-01)\n[2] How do I connect to CPCE_Student Wi-Fi on an Android phone? (ITU_FAQ_002_wi_fi_connection, current, effective 2026-02-01)\n[3] Cannot browse websites when connected to Student Wi-Fi (ITU_FAQ_004_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
What is the Wi-Fi password?,student,factual,eagle,"Based on the strongest evidence, - Is same as your CPCE portal/Blackboard/School email password. [1]\n\nSources:\n[1] What is the Wi-Fi password (ITU_FAQ_005_wi_fi_connection, current, effective 2026-02-01)\n[2] How do I connect to CPCE_Student Wi-Fi on an Android phone? (ITU_FAQ_002_wi_fi_connection, current, effective 2026-02-01)\n[3] Cannot browse websites when connected to Student Wi-Fi (ITU_FAQ_004_wi_fi_connection, current, effective 2026-02-01)",1,3,0,allow,0,0,0
Can students use VPN?,student,factual,standard_rag,"Based on the strongest evidence, - No VPN are provided to students [1]\n\nSources:\n[1] connect to VPN (ITU_FAQ_007_wi_fi_connection, current, effective 2026-02-01)\n[2] How to use poll everywhere for the first use (ITU_FAQ_014_blackboard, current, effective 2026-02-01)\n[3] Connecting problem (ITU_FAQ_010_blackboard, current, effective 2026-02-01)",1,3,0,allow,0,0,0
Can students use VPN?,student,factual,agentic_rag,"Based on the strongest evidence, - No VPN are provided to students [1]\n\nSources:\n[1] connect to VPN (ITU_FAQ_007_wi_fi_connection, current, effective 2026-02-01)\n[2] How to use poll everywhere for the first use (ITU_FAQ_014_blackboard, current, effective 2026-02-01)\n[3] Connecting problem (ITU_FAQ_010_blackboard, current, effective 2026-02-01)",1,3,0,allow,0,0,0
Can students use VPN?,student,factual,eagle,"Based on the strongest evidence, - No VPN are provided to students [1]\n\nSources:\n[1] connect to VPN (ITU_FAQ_007_wi_fi_connection, current, effective 2026-02-01)\n[2] How to use poll everywhere for the first use (ITU_FAQ_014_blackboard, current, effective 2026-02-01)\n[3] Connecting problem (ITU_FAQ_010_blackboard, current, effective 2026-02-01)",1,3,0,allow,0,0,0
